,Address,District_Name,Type,address,latitude,longitude,type
79,,praha 1,school,Hellichova 457/3 Malá Strana 118 00 Praha 1,50.08429452178431,14.405202000000003,C00
80,,praha 1,school,Josefská 626/7 Malá Strana 118 00 Praha 1,50.08823938190318,14.40543572286346,C00
83,,praha 1,school,Dušní 900/17 Staré Město 110 00 Praha 1,50.09130201165675,14.420318548560285,C00
86,,praha 1,school,U Půjčovny 1274/9 Nové Město 110 00 Praha 1,50.08444358174156,14.431697366495495,C00
88,,praha 1,school,Pštrossova 203/13 Nové Město 110 00 Praha 1,50.07826800000001,14.415756711754941,C00
89,,praha 1,school,Masná 1000/18 Staré Město 110 00 Praha 1,50.08933512741632,14.42433740642785,C00
93,,praha 4,educatioanal center,Roškotova 1692/4 Braník 140 00 Praha 4,50.04055137665171,14.42812402094761,H22
95,,praha 1,school,Křemencova 179/12 Nové Město 110 00 Praha 1,50.07899332223439,14.417081941312173,C00
97,,praha 1,school,Betlémská 287/4 Staré Město 110 00 Praha 1,50.08360168942239,14.414942577298174,C00
99,,praha 1,school,Jindřišská 966/36 Nové Město 110 00 Praha 1,50.08467265860705,14.430794394685131,C00
100,,praha 1,school,Štěpánská 614/22 Nové Město 110 00 Praha 1,50.07849593366612,14.425312557043053,C00
101,,praha 2,school,Botičská 424/1 Nové Město 128 00 Praha 2,50.06903421954523,14.418307969473112,C00
102,,praha 10,school,Vršovická 564/43 Vršovice 101 00 Praha 10,50.06703126340233,14.458605040654433,C00
104,,praha 2,school,Resslova 1780/8 Nové Město 120 00 Praha 2,50.075740561746265,14.416662975993997,C00
105,,praha 2,school,Vinohradská 1971/38 Vinohrady 120 00 Praha 2,50.07748268552723,14.438953404379971,C00
106,,praha 2,school,Ječná 517/30 Nové Město 120 00 Praha 2,50.07549552899768,14.426009413266769,C00
108,,praha 2,school,Korunní 586/2 Vinohrady 120 00 Praha 2,50.0752925106758,14.43878028596603,C00
109,,praha 2,educatioanal center,Korunní 586/2 Vinohrady 120 00 Praha 2,50.0752925106758,14.43878028596603,G11
111,,praha 2,school,Ječná 517/30 Nové Město 120 00 Praha 2,50.07549552899768,14.426009413266769,C00
112,,praha 7,school,Ortenovo náměstí 1275/34 Holešovice 170 00 Praha 7,50.10821276827842,14.448408818512139,C00
114,,praha 2,school,Resslova 1940/5 Nové Město 120 00 Praha 2,50.07575649653755,14.415938465722208,C00
115,,praha 2,school,Vinohradská 1971/38 Vinohrady 120 00 Praha 2,50.07748268552723,14.438953404379971,C00
116,,praha 2,school,Podskalská 365/10 Nové Město 128 00 Praha 2,50.06966118151652,14.41551891147778,C00
119,,praha 2,school,Belgická 250/29 Vinohrady 120 00 Praha 2,50.07368613044608,14.435751311674151,C00
120,,praha 5,school,Plzeňská 488/39 Smíchov 150 00 Praha 5,50.07235851067582,14.394649835276141,C00
121,,praha 2,school,Ječná 527/33 Nové Město 120 00 Praha 2,50.075535518754556,14.426509196087492,C00
122,,praha 3,school,Sladkovského náměstí 900/8 Žižkov 130 00 Praha 3,50.08391256174627,14.45041773827112,C00
124,,praha 3,school,Kubelíkova 1221/37 Žižkov 130 00 Praha 3,50.08236743104038,14.451178772548932,C00
125,,praha 3,school,Žižkovo náměstí 1300/1 Žižkov 130 00 Praha 3,50.081447105747564,14.45545376576824,C00
127,,praha 3,school,Nad Ohradou 2825/23 Žižkov 130 00 Praha 3,50.09212931836791,14.4758139158925,C00
128,,praha 3,school,Hollarovo náměstí 2275/2 Vinohrady 130 00 Praha 3,50.077071974464786,14.4771609167579,C00
130,,praha 3,school,Perunova 975/6 Vinohrady 130 00 Praha 3,50.0760748812107,14.454184986409988,C00
131,,praha 4,school,Písnická 760/11 Kamýk 142 00 Praha 4,50.01902026781705,14.441976697126679,C00
132,,praha 4,school,Ohradní 111/55 Michle 140 00 Praha 4,50.05234025618895,14.455095292111523,C00
136,,praha 4,school,Družstevní ochoz 1659/3 Nusle 140 00 Praha 4,50.05491947735031,14.447110500000008,C00
137,,praha 4,school,Postupická 3150/4 Záběhlice 141 00 Praha 4,50.04520551067582,14.492389782820707,C00
138,,praha 8,school,Karlínské náměstí 225/8 Karlín 186 00 Praha 8,50.090732780454786,14.447863885654094,C00
139,,praha 4,school,Na Vítězné pláni 1160/1 Nusle 140 00 Praha 4,50.06217848211082,14.434901999999994,C00
141,,praha 10,school,Dopplerova 351 Petrovice 109 00 Praha 10,50.03446797639802,14.559640595765188,C00
142,,praha 2,school,Sázavská 830/5 Vinohrady 149 00 Praha 2,50.07428647960066,14.440535539817713,C00
143,,praha 5,school,Nárožní 2600/9a Stodůlky 158 00 Praha 5,50.05308658728147,14.332292423538568,C00
144,,praha 4,school,Konstantinova 1500/50 Chodov 149 00 Praha 4,50.02873840161001,14.518967653471153,C00
146,,praha 4,school,Vrbova 1233/34 Braník 147 00 Praha 4,50.031007133244714,14.425771561429146,C00
147,,praha 4,school,Ohradní 126/57 Michle 140 00 Praha 4,50.05246733611286,14.455816093254104,C00
148,,praha 4,educatioanal center,Ohradní 72/24 Michle 140 00 Praha 4,50.05241467831387,14.455805258958927,H22
149,,praha 4,school,Rakovského 3136/1 Modřany 143 00 Praha 4,50.0095385836748,14.424250791794405,B00
150,,praha 4,school,Rakovského 3136/1 Modřany 143 00 Praha 4,50.0095385836748,14.424250791794405,C00
153,,4 none,school,Schulhoffova 844 149 00 Praha 4 None,50.03661976213291,14.519484303565806,B00
154,,praha 10,school,V úžlabině 320/23 Malešice 149 00 Praha 10,50.07962746826102,14.502967397714878,C00
156,,praha 4,school,Roztylská 1860/1 Chodov 148 00 Praha 4,50.0218598751225,14.499302884932947,B00
157,,praha 4,school,Roztylská 1860/1 Chodov 148 00 Praha 4,50.0218598751225,14.499302884932947,C00
161,,praha 4,school,Táborská 350/32 Nusle 140 00 Praha 4,50.0627465323159,14.440401894685118,C00
162,,praha 4,school,Budějovická 680/17 Michle 140 00 Praha 4,50.0430493733335,14.452675322522845,C00
164,,praha 4,school,K Milíčovu 674/2 Háje 149 00 Praha 4,50.028386608344654,14.534631240088801,B00
165,,praha 4,school,K Milíčovu 674/2 Háje 149 00 Praha 4,50.028386608344654,14.534631240088801,C00
166,,praha 4,school,Machkova 1646/1 Chodov 149 00 Praha 4,50.032874557851116,14.511365141266124,C00
168,,praha 4,school,Zelený pruh 1294/52 Krč 147 08 Praha 4,50.03892952510254,14.424445550926217,C00
169,,praha 4,educatioanal center,Vrbova 1233/34 Braník 147 00 Praha 4,50.031007133244714,14.425771561429146,H22
171,,praha 4,school,K Sídlišti 840/2 Podolí 140 00 Praha 4,50.04568392423104,14.430390399965239,B00
172,,praha 4,school,K Sídlišti 840/2 Podolí 140 00 Praha 4,50.04568392423104,14.430390399965239,C00
175,,praha 4,school,Michelská 22/12 Michle 140 00 Praha 4,50.053103142362644,14.452907274165039,C00
176,,praha 4,school,Hrusická 2537/7 Záběhlice 141 00 Praha 4,50.04818662724344,14.48672315098965,C00
179,,praha 10,school,V úžlabině 320/23 Malešice 100 00 Praha 10,50.07962746826102,14.502967397714878,C00
181,,praha 5,school,Na Zatlance 1330/11 Smíchov 150 00 Praha 5,50.07091612101101,14.399445353857805,C00
182,,praha 5,school,Loučanská 520/1 Radotín 153 00 Praha 5,49.9813708262451,14.3607031490564,C00
183,,praha 5,school,Zborovská 621/45 Malá Strana 150 00 Praha 5,50.080380789341575,14.40692848153392,C00
184,,praha 5,school,Mezi Školami 2475/29 Stodůlky 158 00 Praha 5,50.052390329159294,14.340595569507897,C00
188,,praha 5,school,Preslova 72/25 Smíchov 150 00 Praha 5,50.07553929225577,14.405951033296837,C00
189,,praha 4,school,Na Cikorce 2166/2b Modřany 143 00 Praha 4,50.010620823503785,14.414453346153506,C00
190,,praha 5,school,U Závodiště 325/1 Velká Chuchle 159 00 Praha 5,50.01141667055225,14.393237718391397,C00
191,,praha 5,educatioanal center,U závodiště 325/1 Velká Chuchle 159 00 Praha 5,50.01141667055225,14.393237718391397,H22
193,,praha 5,school,Pod Klapicí 11/15 Radotín 153 00 Praha 5,49.98679304746377,14.356491809135333,C00
195,,praha 6,school,Španielova 1111/19 Řepy 163 00 Praha 6,50.069140522072765,14.305730999768855,C00
196,,praha 5,school,Nad Kavalírkou 100/1 Košíře 150 00 Praha 5,50.0684035100989,14.372972025535232,C00
198,,praha 5,school,Radlická 591/115 Jinonice 158 00 Praha 5,50.04713444324542,14.356449940359886,C00
200,,praha 5,school,Nový Zlíchov 1063/1 Hlubočepy 150 00 Praha 5,50.04861174381106,14.40662615251885,C00
203,,praha 5,school,Plzeňská 298/217a Motol 150 00 Praha 5,50.06778051788916,14.341229947544575,C00
204,,praha 6,school,Laudova 1024/10 Řepy 163 00 Praha 6,50.066812605026435,14.313645902014061,C00
206,,praha 5,school,Drtinova 498/3 Smíchov 150 00 Praha 5,50.07572376602806,14.401925912141602,C00
207,,praha 6,school,Arabská 682/14 Vokovice 160 00 Praha 6,50.099619141843036,14.36037539754198,C00
209,,praha 6,school,Parléřova 118/2 Hradčany 169 00 Praha 6,50.08782744546711,14.387300381903176,C00
210,,praha 6,school,Krupkovo náměstí 26/4 Bubeneč 160 00 Praha 6,50.10447423980034,14.407959389260776,C00
212,,praha 6,school,Nad Alejí 1952/5 Břevnov 162 00 Praha 6,50.085394143516474,14.343112028016728,C00
215,,roztoky none,educatioanal center,Smetanova 1310 252 63 Roztoky None,50.16218232307112,14.379602127820366,H22
