,District_Name,Type,latitude,longitude
453,praha 8,school,50.140309652778654,14.435244932829402
457,praha 8,school,50.132764686104174,14.404161944428845
461,praha 8,school,50.13331846378896,14.423962091176627
465,praha 9,school,50.11831471911273,14.63134592509672
469,praha 10,school,50.053270431040374,14.500573784349902
472,praha 4,school,50.02806975021634,14.515441579865634
473,praha 4,school,50.02806975021634,14.515441579865634
477,praha 10,school,50.0835404690691,14.4967699546137
478,praha 10,school,50.0835404690691,14.4967699546137
482,praha 10,school,50.0361990133302,14.594764436176261
483,praha 10,school,50.0361990133302,14.594764436176261
485,praha 10,school,50.074589116567616,14.490292422413377
489,praha 1,educatioanal center,50.0792334096601,14.418124469069104
492,praha 2,educatioanal center,50.07626648932419,14.44341991326678
494,praha 2,school,50.06249794725613,14.422710642910891
495,praha 2,school,50.06249794725613,14.422710642910891
499,praha 2,educatioanal center,50.0747954141035,14.437763271308183
501,praha 2,school,50.07052546543375,14.437363388856733
505,praha 2,educatioanal center,50.06627781043341,14.421464948092833
509,praha 3,educatioanal center,50.094404223440385,14.481911902850774
514,praha 4,educatioanal center,50.04600951788916,14.43836239508914
515,praha 4,educatioanal center,50.01245662724344,14.41339492798197
516,praha 4,educatioanal center,50.02546658338635,14.51145511962604
517,praha 4,school,50.03605351485942,14.45922886372554
520,praha 5,educatioanal center,50.07298949486412,14.40381737411291
521,praha 6,educatioanal center,50.074452053551944,14.323867181112485
522,praha 6,educatioanal center,50.10133813266779,14.389060336401306
524,praha 6,educatioanal center,50.13214313128281,14.374036879969943
525,praha 7,educatioanal center,50.103290419931874,14.434176567718884
526,praha 8,educatioanal center,50.1264892018003,14.449635724104219
527,praha 9,educatioanal center,50.12138721899697,14.501349092446048
528,praha 9,educatioanal center,50.127480449362245,14.48835306546851
533,praha 9,school,50.11862852842076,14.5053084446304
555,praha 10,educatioanal center,50.078399489324205,14.491849416180969
571,praha 1,school,50.08803238190316,14.405446755612038
573,praha 1,school,50.092026066882156,14.419551262161558
575,1 none,school,50.081194005828394,14.418090508598354
577,praha 1,school,50.07984635330952,14.423188425356233
581,praha 1,school,50.09090305744711,14.431290144468775
603,praha 2,school,50.07266949653756,14.447020332361944
607,praha 2,school,50.071269425211995,14.437708466126228
611,praha 2,school,50.07993879323673,14.435670975445738
